Fitur;Ukuran;Bit;PCA;Kernel;C;Akurasi
BSIF+MTCD;17x17;7;0,8;linear;100;99,896 $\pm$ 0,18
BSIF+MTCD;17x17;9;0,4;linear;10;99,844 $\pm$ 0,09
BSIF+MTCD;17x17;9;0,4;linear;100;99,844 $\pm$ 0,09
BSIF+MTCD;17x17;9;0,6;linear;1;99,844 $\pm$ 0,173
BSIF+MTCD;17x17;7;0,4;linear;1;99,844 $\pm$ 0,173
BSIF+MTCD;17x17;7;0,4;linear;100;99,844 $\pm$ 0,173
BSIF+MTCD;17x17;7;0,4;linear;10;99,844 $\pm$ 0,173
BSIF+MTCD;17x17;6;N/A;linear;100;99,844 $\pm$ 0,173
BSIF+MTCD;17x17;6;N/A;linear;10;99,844 $\pm$ 0,173
BSIF+MTCD;17x17;6;0,6;linear;10;99,844 $\pm$ 0,173
BSIF+MTCD;17x17;6;0,6;linear;100;99,844 $\pm$ 0,173
BSIF+MTCD;17x17;6;0,8;linear;100;99,844 $\pm$ 0,173
BSIF+MTCD;17x17;6;0,8;linear;10;99,844 $\pm$ 0,173
BSIF+MTCD;17x17;10;0,6;linear;1;99,844 $\pm$ 0,173
BSIF+MTCD;17x17;10;N/A;poly;1;99,844 $\pm$ 0,09
BSIF+MTCD;17x17;10;0,6;linear;10;99,844 $\pm$ 0,173
BSIF+MTCD;17x17;10;N/A;poly;10;99,844 $\pm$ 0,09
BSIF+MTCD;17x17;10;0,6;linear;100;99,844 $\pm$ 0,173
BSIF+MTCD;17x17;10;N/A;poly;100;99,844 $\pm$ 0,09
BSIF+MTCD;17x17;7;0,6;rbf;10;99,844 $\pm$ 0,173
BSIF+MTCD;17x17;7;0,6;rbf;100;99,844 $\pm$ 0,173
BSIF+MTCD;17x17;7;0,4;rbf;10;99,844 $\pm$ 0,173
BSIF+MTCD;17x17;7;0,4;rbf;100;99,844 $\pm$ 0,173
BSIF+MTCD;17x17;6;0,4;linear;1;99,844 $\pm$ 0,173
BSIF+MTCD;17x17;7;0,2;linear;1;99,792 $\pm$ 0,147
BSIF+MTCD;17x17;12;N/A;poly;10;99,792 $\pm$ 0
BSIF+MTCD;17x17;12;N/A;poly;100;99,792 $\pm$ 0
BSIF+MTCD;17x17;12;N/A;poly;1;99,792 $\pm$ 0
BSIF+MTCD;17x17;10;0,4;linear;100;99,792 $\pm$ 0,147
BSIF+MTCD;17x17;10;0,8;linear;100;99,792 $\pm$ 0,147
BSIF+MTCD;17x17;10;N/A;linear;10;99,792 $\pm$ 0,147
BSIF+MTCD;17x17;10;0,4;linear;10;99,792 $\pm$ 0,147
BSIF+MTCD;17x17;10;0,4;linear;1;99,792 $\pm$ 0,147
BSIF+MTCD;17x17;10;N/A;rbf;10;99,792 $\pm$ 0,147
BSIF+MTCD;17x17;10;0,8;linear;1;99,792 $\pm$ 0,147
BSIF+MTCD;17x17;10;0,8;linear;10;99,792 $\pm$ 0,147
BSIF+MTCD;17x17;10;N/A;linear;100;99,792 $\pm$ 0,147
BSIF+MTCD;17x17;10;N/A;linear;1;99,792 $\pm$ 0,147
BSIF+MTCD;17x17;10;N/A;rbf;100;99,792 $\pm$ 0,147
BSIF+MTCD;17x17;6;N/A;poly;1;99,792 $\pm$ 0,147
BSIF+MTCD;17x17;6;N/A;poly;10;99,792 $\pm$ 0,147
BSIF+MTCD;17x17;6;N/A;poly;100;99,792 $\pm$ 0,147
BSIF+MTCD;17x17;6;0,4;linear;100;99,792 $\pm$ 0,255
BSIF+MTCD;17x17;6;0,4;linear;10;99,792 $\pm$ 0,255
BSIF+MTCD;17x17;12;0,8;linear;10;99,792 $\pm$ 0,255
BSIF+MTCD;17x17;12;N/A;linear;1;99,792 $\pm$ 0,255
BSIF+MTCD;17x17;12;0,8;linear;1;99,792 $\pm$ 0,255
BSIF+MTCD;17x17;12;N/A;linear;100;99,792 $\pm$ 0,255
BSIF+MTCD;17x17;12;N/A;linear;10;99,792 $\pm$ 0,255
BSIF+MTCD;17x17;12;0,8;linear;100;99,792 $\pm$ 0,255
BSIF+MTCD;17x17;8;N/A;poly;100;99,792 $\pm$ 0,255
BSIF+MTCD;17x17;8;N/A;poly;1;99,792 $\pm$ 0,255
BSIF+MTCD;17x17;8;N/A;poly;10;99,792 $\pm$ 0,255
BSIF+MTCD;17x17;7;0,8;rbf;10;99,792 $\pm$ 0,208
BSIF+MTCD;17x17;7;0,8;rbf;100;99,792 $\pm$ 0,208
BSIF+MTCD;15x15;9;0,4;linear;10;99,74 $\pm$ 0,271
BSIF+MTCD;15x15;9;N/A;poly;100;99,74 $\pm$ 0,173
BSIF+MTCD;15x15;9;0,4;linear;100;99,74 $\pm$ 0,271
BSIF+MTCD;15x15;9;N/A;poly;10;99,74 $\pm$ 0,173
BSIF+MTCD;15x15;9;N/A;poly;1;99,74 $\pm$ 0,173
BSIF+MTCD;17x17;6;N/A;rbf;100;99,74 $\pm$ 0,173
BSIF+MTCD;17x17;6;N/A;rbf;10;99,74 $\pm$ 0,173
BSIF+MTCD;17x17;11;N/A;poly;100;99,74 $\pm$ 0,227
BSIF+MTCD;17x17;11;N/A;poly;10;99,74 $\pm$ 0,227
BSIF+MTCD;17x17;11;N/A;poly;1;99,74 $\pm$ 0,227
BSIF+MTCD;17x17;12;0,6;linear;1;99,74 $\pm$ 0,271
BSIF+MTCD;17x17;12;0,6;linear;100;99,74 $\pm$ 0,271
BSIF+MTCD;17x17;12;0,6;linear;10;99,74 $\pm$ 0,271
BSIF+MTCD;17x17;8;0,8;linear;100;99,74 $\pm$ 0,271
BSIF+MTCD;17x17;8;0,2;linear;100;99,74 $\pm$ 0,342
BSIF+MTCD;17x17;8;0,6;linear;100;99,74 $\pm$ 0,271
BSIF+MTCD;17x17;8;0,8;linear;10;99,74 $\pm$ 0,271
BSIF+MTCD;17x17;8;0,4;linear;10;99,74 $\pm$ 0,271
BSIF+MTCD;17x17;8;0,4;linear;1;99,74 $\pm$ 0,271
BSIF+MTCD;17x17;8;0,2;linear;10;99,74 $\pm$ 0,342
BSIF+MTCD;17x17;8;0,8;linear;1;99,74 $\pm$ 0,271
BSIF+MTCD;17x17;8;0,6;linear;10;99,74 $\pm$ 0,271
BSIF+MTCD;17x17;8;0,4;linear;100;99,74 $\pm$ 0,271
BSIF+MTCD;17x17;8;0,6;linear;1;99,74 $\pm$ 0,271
BSIF+MTCD;17x17;8;N/A;linear;10;99,74 $\pm$ 0,271
BSIF+MTCD;17x17;8;N/A;rbf;100;99,74 $\pm$ 0,271
BSIF+MTCD;17x17;8;N/A;linear;100;99,74 $\pm$ 0,271
BSIF+MTCD;17x17;8;N/A;rbf;10;99,74 $\pm$ 0,271
BSIF+MTCD;17x17;8;N/A;linear;1;99,74 $\pm$ 0,271
BSIF+MTCD;17x17;12;0,4;linear;1;99,74 $\pm$ 0,271
BSIF+MTCD;15x15;10;0,6;linear;10;99,74 $\pm$ 0,227
BSIF+MTCD;15x15;10;0,6;linear;100;99,74 $\pm$ 0,227
BSIF+MTCD;15x15;10;N/A;linear;100;99,74 $\pm$ 0,227
BSIF+MTCD;15x15;10;0,8;linear;100;99,74 $\pm$ 0,227
BSIF+MTCD;15x15;10;N/A;linear;10;99,74 $\pm$ 0,227
BSIF+MTCD;15x15;10;0,8;linear;10;99,74 $\pm$ 0,227
BSIF+MTCD;17x17;9;0,4;rbf;100;99,688 $\pm$ 0,18
BSIF+MTCD;17x17;9;0,4;rbf;10;99,688 $\pm$ 0,18
BSIF+MTCD;15x15;9;N/A;linear;100;99,688 $\pm$ 0,233
BSIF+MTCD;15x15;9;0,8;linear;10;99,688 $\pm$ 0,233
BSIF+MTCD;15x15;9;0,8;linear;100;99,688 $\pm$ 0,233
BSIF+MTCD;15x15;9;0,8;linear;1;99,688 $\pm$ 0,233
BSIF+MTCD;15x15;9;N/A;linear;1;99,688 $\pm$ 0,233
BSIF+MTCD;15x15;9;N/A;linear;10;99,688 $\pm$ 0,233
BSIF+MTCD;15x15;9;0,6;linear;1;99,688 $\pm$ 0,233
BSIF+MTCD;15x15;9;0,6;linear;10;99,688 $\pm$ 0,233
BSIF+MTCD;15x15;9;0,6;linear;100;99,688 $\pm$ 0,233
BSIF+MTCD;15x15;9;0,4;linear;1;99,688 $\pm$ 0,345
BSIF+MTCD;17x17;11;0,6;linear;1;99,688 $\pm$ 0,233
BSIF+MTCD;17x17;11;0,6;linear;100;99,688 $\pm$ 0,233
BSIF+MTCD;17x17;11;0,8;linear;100;99,688 $\pm$ 0,233
BSIF+MTCD;17x17;11;0,8;linear;10;99,688 $\pm$ 0,233
BSIF+MTCD;17x17;11;0,6;linear;10;99,688 $\pm$ 0,233
BSIF+MTCD;17x17;11;N/A;linear;100;99,688 $\pm$ 0,233
BSIF+MTCD;17x17;11;N/A;linear;10;99,688 $\pm$ 0,233
BSIF+MTCD;17x17;10;0,4;rbf;10;99,688 $\pm$ 0,233
BSIF+MTCD;17x17;10;0,4;rbf;100;99,688 $\pm$ 0,233
BSIF+MTCD;15x15;10;N/A;poly;100;99,688 $\pm$ 0,18
BSIF+MTCD;15x15;10;N/A;poly;10;99,688 $\pm$ 0,18
BSIF+MTCD;17x17;7;0,2;linear;100;99,688 $\pm$ 0,345
BSIF+MTCD;17x17;7;0,2;linear;10;99,688 $\pm$ 0,345
BSIF+MTCD;17x17;12;0,4;linear;10;99,688 $\pm$ 0,312
BSIF+MTCD;17x17;12;0,4;linear;100;99,688 $\pm$ 0,312
BSIF+MTCD;17x17;11;0,8;linear;1;99,688 $\pm$ 0,233
BSIF+MTCD;17x17;11;N/A;linear;1;99,688 $\pm$ 0,233
BSIF+MTCD;17x17;11;0,4;linear;100;99,688 $\pm$ 0,345
BSIF+MTCD;17x17;11;0,4;linear;10;99,688 $\pm$ 0,345
BSIF+MTCD;17x17;11;0,4;linear;1;99,688 $\pm$ 0,345
BSIF+MTCD;17x17;8;0,2;linear;1;99,688 $\pm$ 0,429
BSIF+MTCD;17x17;12;N/A;rbf;100;99,688 $\pm$ 0,345
BSIF+MTCD;17x17;12;N/A;rbf;10;99,688 $\pm$ 0,345
BSIF+MTCD;15x15;10;0,4;linear;100;99,688 $\pm$ 0,233
BSIF+MTCD;15x15;10;0,4;linear;10;99,688 $\pm$ 0,233
BSIF+MTCD;15x15;10;0,8;linear;1;99,688 $\pm$ 0,233
BSIF+MTCD;15x15;10;0,6;linear;1;99,688 $\pm$ 0,233
BSIF+MTCD;15x15;10;N/A;linear;1;99,688 $\pm$ 0,233
BSIF+MTCD;17x17;6;0,2;linear;1;99,688 $\pm$ 0,233
BSIF+MTCD;17x17;9;0,2;linear;1;99,635 $\pm$ 0,271
BSIF+MTCD;15x15;9;N/A;rbf;100;99,635 $\pm$ 0,308
BSIF+MTCD;15x15;9;N/A;rbf;10;99,635 $\pm$ 0,308
BSIF+MTCD;15x15;10;N/A;poly;1;99,635 $\pm$ 0,227
BSIF+MTCD;17x17;9;0,8;rbf;100;99,635 $\pm$ 0,173
BSIF+MTCD;17x17;9;0,6;rbf;100;99,635 $\pm$ 0,173
BSIF+MTCD;17x17;9;0,8;rbf;10;99,635 $\pm$ 0,173
BSIF+MTCD;17x17;9;0,6;rbf;10;99,635 $\pm$ 0,173
BSIF+MTCD;17x17;8;0,6;rbf;100;99,635 $\pm$ 0,308
BSIF+MTCD;17x17;8;0,6;rbf;10;99,635 $\pm$ 0,308
BSIF+MTCD;17x17;8;0,8;rbf;10;99,635 $\pm$ 0,308
BSIF+MTCD;17x17;8;0,8;rbf;100;99,635 $\pm$ 0,308
BSIF+MTCD;17x17;11;N/A;rbf;100;99,635 $\pm$ 0,271
BSIF+MTCD;17x17;11;N/A;rbf;10;99,635 $\pm$ 0,271
BSIF+MTCD;17x17;10;0,6;rbf;100;99,635 $\pm$ 0,227
BSIF+MTCD;17x17;10;0,6;rbf;10;99,635 $\pm$ 0,227
BSIF+MTCD;17x17;6;0,2;linear;100;99,635 $\pm$ 0,308
BSIF+MTCD;17x17;6;0,2;linear;10;99,635 $\pm$ 0,308
BSIF+MTCD;15x15;10;N/A;rbf;100;99,635 $\pm$ 0,271
BSIF+MTCD;15x15;10;N/A;rbf;10;99,635 $\pm$ 0,271
BSIF+MTCD;15x15;10;0,4;linear;1;99,635 $\pm$ 0,227
BSIF+MTCD;15x15;7;0,8;linear;100;99,635 $\pm$ 0,227
BSIF+MTCD;15x15;7;N/A;linear;10;99,635 $\pm$ 0,227
BSIF+MTCD;15x15;7;N/A;linear;100;99,635 $\pm$ 0,227
BSIF+MTCD;15x15;7;0,8;linear;10;99,635 $\pm$ 0,227
BSIF+MTCD;15x15;7;0,6;linear;100;99,635 $\pm$ 0,227
BSIF+MTCD;15x15;7;0,6;linear;10;99,635 $\pm$ 0,227
BSIF+MTCD;17x17;9;0,2;linear;100;99,583 $\pm$ 0,295
BSIF+MTCD;17x17;9;0,2;linear;10;99,583 $\pm$ 0,295
BSIF+MTCD;17x17;11;0,6;rbf;10;99,583 $\pm$ 0,329
BSIF+MTCD;17x17;11;0,8;rbf;10;99,583 $\pm$ 0,329
BSIF+MTCD;17x17;11;0,6;rbf;100;99,583 $\pm$ 0,329
BSIF+MTCD;17x17;11;0,8;rbf;100;99,583 $\pm$ 0,329
BSIF+MTCD;17x17;10;0,8;rbf;10;99,583 $\pm$ 0,295
BSIF+MTCD;17x17;10;0,8;rbf;100;99,583 $\pm$ 0,295
BSIF+MTCD;17x17;8;0,4;rbf;10;99,583 $\pm$ 0,39
BSIF+MTCD;17x17;8;0,4;rbf;100;99,583 $\pm$ 0,39
BSIF+MTCD;17x17;7;0,2;rbf;10;99,583 $\pm$ 0,51
BSIF+MTCD;17x17;7;0,2;rbf;100;99,583 $\pm$ 0,51
BSIF+MTCD;15x15;9;0,8;rbf;100;99,583 $\pm$ 0,39
BSIF+MTCD;15x15;9;0,8;rbf;10;99,583 $\pm$ 0,39
BSIF+MTCD;17x17;10;0,2;linear;1;99,531 $\pm$ 0,173
BSIF+MTCD;15x15;10;0,8;rbf;10;99,531 $\pm$ 0,227
BSIF+MTCD;15x15;10;0,6;rbf;100;99,531 $\pm$ 0,227
BSIF+MTCD;15x15;10;0,8;rbf;100;99,531 $\pm$ 0,227
BSIF+MTCD;15x15;10;0,6;rbf;10;99,531 $\pm$ 0,227
BSIF+MTCD;15x15;10;0,4;rbf;10;99,531 $\pm$ 0,173
BSIF+MTCD;15x15;10;0,4;rbf;100;99,531 $\pm$ 0,173
BSIF+MTCD;15x15;7;0,4;linear;10;99,531 $\pm$ 0,308
BSIF+MTCD;15x15;7;0,4;linear;100;99,531 $\pm$ 0,308
BSIF+MTCD;17x17;8;0,2;rbf;100;99,531 $\pm$ 0,475
BSIF+MTCD;17x17;8;0,2;rbf;10;99,531 $\pm$ 0,475
BSIF+MTCD;15x15;7;N/A;poly;10;99,531 $\pm$ 0,372
BSIF+MTCD;15x15;7;N/A;poly;100;99,531 $\pm$ 0,372
BSIF+MTCD;17x17;10;0,2;rbf;10;99,531 $\pm$ 0,308
BSIF+MTCD;17x17;10;0,2;rbf;100;99,531 $\pm$ 0,308
BSIF+MTCD;15x15;9;0,6;rbf;10;99,531 $\pm$ 0,372
BSIF+MTCD;15x15;9;0,6;rbf;100;99,531 $\pm$ 0,372
BSIF+MTCD;17x17;5;0,8;linear;10;99,531 $\pm$ 0,372
BSIF+MTCD;17x17;5;0,4;linear;1;99,531 $\pm$ 0,372
BSIF+MTCD;17x17;5;0,6;linear;10;99,531 $\pm$ 0,372
BSIF+MTCD;17x17;5;0,8;linear;1;99,531 $\pm$ 0,372
BSIF+MTCD;17x17;5;0,6;linear;100;99,531 $\pm$ 0,372
BSIF+MTCD;17x17;5;0,8;linear;100;99,531 $\pm$ 0,372
BSIF+MTCD;17x17;5;0,6;linear;1;99,531 $\pm$ 0,372
BSIF+MTCD;17x17;5;0,4;linear;100;99,531 $\pm$ 0,475
BSIF+MTCD;17x17;5;0,4;linear;10;99,531 $\pm$ 0,475
BSIF+MTCD;17x17;5;N/A;linear;100;99,531 $\pm$ 0,372
BSIF+MTCD;17x17;5;N/A;poly;1;99,531 $\pm$ 0,372
BSIF+MTCD;17x17;5;N/A;linear;1;99,531 $\pm$ 0,372
BSIF+MTCD;17x17;5;N/A;poly;10;99,531 $\pm$ 0,372
BSIF+MTCD;17x17;5;N/A;linear;10;99,531 $\pm$ 0,372
BSIF+MTCD;17x17;5;N/A;rbf;10;99,531 $\pm$ 0,372
BSIF+MTCD;17x17;5;N/A;rbf;100;99,531 $\pm$ 0,372
BSIF+MTCD;17x17;5;N/A;poly;100;99,531 $\pm$ 0,372
BSIF+MTCD;17x17;9;0,8;rbf;1;99,479 $\pm$ 0,312
BSIF+MTCD;17x17;9;0,6;rbf;1;99,479 $\pm$ 0,312
BSIF+MTCD;17x17;9;0,4;rbf;1;99,479 $\pm$ 0,312
BSIF+MTCD;15x15;9;0,2;rbf;100;99,479 $\pm$ 0,376
BSIF+MTCD;15x15;9;0,2;rbf;10;99,479 $\pm$ 0,376
BSIF+MTCD;17x17;11;0,6;rbf;1;99,479 $\pm$ 0,477
BSIF+MTCD;17x17;11;0,8;rbf;1;99,479 $\pm$ 0,477
BSIF+MTCD;17x17;11;0,4;rbf;10;99,479 $\pm$ 0,429
BSIF+MTCD;17x17;11;0,4;rbf;100;99,479 $\pm$ 0,429
BSIF+MTCD;17x17;11;0,4;rbf;1;99,479 $\pm$ 0,598
BSIF+MTCD;15x15;8;0,6;linear;1;99,479 $\pm$ 0,376
BSIF+MTCD;17x17;12;0,8;rbf;100;99,479 $\pm$ 0,312
BSIF+MTCD;17x17;12;0,8;rbf;10;99,479 $\pm$ 0,312
BSIF+MTCD;15x15;9;0,4;rbf;10;99,479 $\pm$ 0,454
BSIF+MTCD;15x15;9;0,4;rbf;100;99,479 $\pm$ 0,454
BSIF+MTCD;15x15;7;N/A;rbf;100;99,479 $\pm$ 0,454
BSIF+MTCD;17x17;10;0,2;linear;100;99,427 $\pm$ 0,227
BSIF+MTCD;17x17;10;0,2;linear;10;99,427 $\pm$ 0,227
BSIF+MTCD;17x17;11;0,2;linear;10;99,427 $\pm$ 0,271
BSIF+MTCD;17x17;11;0,2;linear;100;99,427 $\pm$ 0,271
BSIF+MTCD;17x17;11;0,2;linear;1;99,427 $\pm$ 0,308
BSIF+MTCD;15x15;9;0,2;linear;10;99,427 $\pm$ 0,451
BSIF+MTCD;15x15;9;0,2;linear;100;99,427 $\pm$ 0,451
BSIF+MTCD;17x17;9;0,2;rbf;10;99,427 $\pm$ 0,271
BSIF+MTCD;17x17;9;0,2;rbf;100;99,427 $\pm$ 0,271
BSIF+MTCD;15x15;8;N/A;rbf;100;99,427 $\pm$ 0,308
BSIF+MTCD;15x15;8;N/A;rbf;10;99,427 $\pm$ 0,308
BSIF+MTCD;17x17;12;0,6;rbf;10;99,427 $\pm$ 0,271
BSIF+MTCD;17x17;12;0,6;rbf;100;99,427 $\pm$ 0,271
BSIF+MTCD;17x17;5;0,2;linear;1;99,427 $\pm$ 0,475
BSIF+MTCD;15x15;8;N/A;linear;1;99,427 $\pm$ 0,308
BSIF+MTCD;15x15;8;0,4;linear;1;99,427 $\pm$ 0,451
BSIF+MTCD;15x15;8;0,8;linear;1;99,427 $\pm$ 0,308
BSIF+MTCD;15x15;7;0,8;linear;1;99,427 $\pm$ 0,648
BSIF+MTCD;15x15;7;0,6;linear;1;99,427 $\pm$ 0,648
BSIF+MTCD;15x15;7;N/A;linear;1;99,427 $\pm$ 0,648
BSIF+MTCD;15x15;9;0,2;linear;1;99,375 $\pm$ 0,531
BSIF+MTCD;15x15;10;0,2;linear;1;99,375 $\pm$ 0,208
BSIF+MTCD;17x17;6;0,4;rbf;10;99,375 $\pm$ 0,361
BSIF+MTCD;17x17;6;0,8;rbf;10;99,375 $\pm$ 0,361
BSIF+MTCD;17x17;6;0,6;rbf;10;99,375 $\pm$ 0,361
BSIF+MTCD;17x17;6;0,4;rbf;100;99,375 $\pm$ 0,361
BSIF+MTCD;17x17;6;0,6;rbf;100;99,375 $\pm$ 0,361
BSIF+MTCD;17x17;6;0,8;rbf;100;99,375 $\pm$ 0,361
BSIF+MTCD;15x15;10;0,2;rbf;100;99,375 $\pm$ 0,255
BSIF+MTCD;15x15;10;0,2;rbf;10;99,375 $\pm$ 0,255
BSIF+MTCD;15x15;7;N/A;rbf;10;99,375 $\pm$ 0,625
BSIF+MTCD;17x17;7;0,6;rbf;1;99,375 $\pm$ 0,722
BSIF+MTCD;17x17;7;0,4;rbf;1;99,375 $\pm$ 0,722
BSIF+MTCD;17x17;10;0,4;rbf;1;99,323 $\pm$ 0,173
BSIF+MTCD;13x13;9;N/A;rbf;100;99,323 $\pm$ 0,578
BSIF+MTCD;13x13;9;N/A;rbf;10;99,323 $\pm$ 0,578
BSIF+MTCD;17x17;8;0,4;rbf;1;99,323 $\pm$ 0,475
BSIF+MTCD;17x17;6;0,8;rbf;1;99,323 $\pm$ 0,4
BSIF+MTCD;17x17;7;0,8;rbf;1;99,375 $\pm$ 0,846
BSIF+MTCD;15x15;7;N/A;poly;1;99,323 $\pm$ 0,712
BSIF+MTCD;13x13;9;0,6;linear;10;99,323 $\pm$ 0,578
BSIF+MTCD;13x13;9;0,6;linear;100;99,323 $\pm$ 0,578
BSIF+MTCD;17x17;10;0,8;rbf;1;99,271 $\pm$ 0,233
BSIF+MTCD;17x17;10;0,6;rbf;1;99,271 $\pm$ 0,233
BSIF+MTCD;15x15;11;N/A;poly;10;99,271 $\pm$ 0,312
BSIF+MTCD;15x15;11;N/A;poly;100;99,271 $\pm$ 0,312
BSIF+MTCD;15x15;11;N/A;poly;1;99,271 $\pm$ 0,312
BSIF+MTCD;15x15;10;0,2;linear;100;99,271 $\pm$ 0,429
BSIF+MTCD;15x15;10;0,2;linear;10;99,271 $\pm$ 0,429
BSIF+MTCD;17x17;12;0,4;rbf;10;99,271 $\pm$ 0,376
BSIF+MTCD;17x17;12;0,4;rbf;100;99,271 $\pm$ 0,376
BSIF+MTCD;15x15;11;0,4;linear;1;99,271 $\pm$ 0,312
BSIF+MTCD;15x15;11;0,6;linear;100;99,271 $\pm$ 0,312
BSIF+MTCD;15x15;11;N/A;linear;100;99,271 $\pm$ 0,312
BSIF+MTCD;15x15;11;0,4;linear;100;99,271 $\pm$ 0,312
BSIF+MTCD;15x15;11;0,6;linear;1;99,271 $\pm$ 0,312
BSIF+MTCD;15x15;11;0,4;linear;10;99,271 $\pm$ 0,312
BSIF+MTCD;15x15;11;N/A;rbf;100;99,271 $\pm$ 0,312
BSIF+MTCD;15x15;11;N/A;linear;10;99,271 $\pm$ 0,312
BSIF+MTCD;15x15;11;0,6;linear;10;99,271 $\pm$ 0,312
BSIF+MTCD;15x15;11;0,8;linear;100;99,271 $\pm$ 0,312
BSIF+MTCD;15x15;11;N/A;linear;1;99,271 $\pm$ 0,312
BSIF+MTCD;15x15;11;0,8;linear;1;99,271 $\pm$ 0,312
BSIF+MTCD;15x15;11;0,8;linear;10;99,271 $\pm$ 0,312
BSIF+MTCD;15x15;11;N/A;rbf;10;99,271 $\pm$ 0,312
BSIF+MTCD;17x17;11;0,2;rbf;10;99,271 $\pm$ 0,634
BSIF+MTCD;17x17;11;0,2;rbf;100;99,271 $\pm$ 0,634
BSIF+MTCD;17x17;6;0,6;rbf;1;99,271 $\pm$ 0,454
BSIF+MTCD;17x17;6;0,4;rbf;1;99,271 $\pm$ 0,454
BSIF+MTCD;17x17;8;0,6;rbf;1;99,271 $\pm$ 0,541
BSIF+MTCD;17x17;8;0,8;rbf;1;99,271 $\pm$ 0,541
BSIF+MTCD;13x13;9;0,8;linear;100;99,271 $\pm$ 0,561
BSIF+MTCD;13x13;9;N/A;linear;10;99,271 $\pm$ 0,561
BSIF+MTCD;13x13;9;0,8;linear;10;99,271 $\pm$ 0,561
BSIF+MTCD;13x13;9;N/A;linear;100;99,271 $\pm$ 0,561
BSIF+MTCD;15x15;8;N/A;poly;1;99,219 $\pm$ 0,227
BSIF+MTCD;15x15;8;0,6;linear;100;99,219 $\pm$ 0,308
BSIF+MTCD;15x15;8;0,6;linear;10;99,219 $\pm$ 0,308
BSIF+MTCD;15x15;8;0,8;rbf;100;99,219 $\pm$ 0,4
BSIF+MTCD;15x15;8;0,8;rbf;10;99,219 $\pm$ 0,4
BSIF+MTCD;15x15;8;0,6;rbf;10;99,219 $\pm$ 0,4
BSIF+MTCD;15x15;8;0,6;rbf;100;99,219 $\pm$ 0,4
BSIF+MTCD;15x15;11;0,4;rbf;100;99,219 $\pm$ 0,342
BSIF+MTCD;15x15;11;0,4;rbf;10;99,219 $\pm$ 0,342
BSIF+MTCD;15x15;11;0,8;rbf;100;99,219 $\pm$ 0,342
BSIF+MTCD;15x15;11;0,6;rbf;10;99,219 $\pm$ 0,342
BSIF+MTCD;15x15;11;0,8;rbf;10;99,219 $\pm$ 0,342
BSIF+MTCD;15x15;11;0,6;rbf;100;99,219 $\pm$ 0,342
BSIF+MTCD;15x15;8;N/A;linear;100;99,219 $\pm$ 0,308
BSIF+MTCD;15x15;8;0,8;linear;100;99,219 $\pm$ 0,308
BSIF+MTCD;15x15;8;N/A;linear;10;99,219 $\pm$ 0,308
BSIF+MTCD;15x15;8;0,8;linear;10;99,219 $\pm$ 0,308
